Movement,Name,Team,Number,Position,Age,Height,Weight,College,Salary
Buy 28 Bili hola,Avery Bradley,Boston Celtics,0,PG,25,06. Feb,180,Texas,7730337
Buy 28 Xpeng Auto,Jae Crowder,Boston Celtics,99,SF,25,06. Jun,235,Marquette,6796117
Buy 28 Bili hola,John Holland,Boston Celtics,30,SG,27,06. May,205,Boston University,
Buy 28 Bili hola,R.J. Hunter,Boston Celtics,28,SG,22,06. May,185,Georgia State,1148640
Buy 28 Nio,Jonas Jerebko,Boston Celtics,8,PF,29,06. Oct,231,,5000000
Buy 28 Bili hola,Amir Johnson,Boston Celtics,90,PF,29,06. Sep,240,,12000000
Buy 28 Bili hola,Jordan Mickey,Boston Celtics,55,PF,21,06. Aug,235,LSU,1170960
Buy 28 Bili hola,Kelly Olynyk,Boston Celtics,41,C,25,Jul-00,238,Gonzaga,2165160
Buy 28 Bili hola,Terry Rozier,Boston Celtics,12,PG,22,06. Feb,190,Louisville,1824360
Buy 28 Bili hola,Marcus Smart,Boston Celtics,36,PG,22,06. Apr,220,Oklahoma State,3431040
Sell 28 Bili hola,Jared Sullinger,Boston Celtics,7,C,24,06. Sep,260,Ohio State,2569260
Buy 28 Bili hola,Isaiah Thomas,Boston Celtics,4,PG,27,05. Sep,185,Washington,6912869
Buy 28 Bili hola,Evan Turner,Boston Celtics,11,SG,27,06. Jul,220,Ohio State,3425510
Buy 28 Bili hola,James Young,Boston Celtics,13,SG,20,06. Jun,215,Kentucky,1749840
Buy 28 Bili hola,Tyler Zeller,Boston Celtics,44,C,26,Jul-00,253,North Carolina,2616975
Buy 28 Bili hola,Bojan Bogdanovic,Brooklyn Nets,44,SG,27,06. Aug,216,,3425510
Buy 28 Bili hola,Markel Brown,Brooklyn Nets,22,SG,24,06. Mar,190,Oklahoma State,845059
Buy 28 Bili hola,Wayne Ellington,Brooklyn Nets,21,SG,28,06. Apr,200,North Carolina,1500000
Buy 28 Bili hola,Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,06. Jul,220,Arizona,1335480
Buy 28 Bili hola,Jarrett Jack,Brooklyn Nets,2,PG,32,06. Mar,200,Georgia Tech,6300000
Buy 28 Bili hola,Sergey Karasev,Brooklyn Nets,10,SG,22,06. Jul,208,,1599840
Buy 28 Bili hola,Sean Kilpatrick,Brooklyn Nets,6,SG,26,06. Apr,219,Cincinnati,134215
Buy 28 Bili hola,Shane Larkin,Brooklyn Nets,0,PG,23,05. Nov,175,Miami (FL),1500000
Buy 28 Bili hola,Brook Lopez,Brooklyn Nets,11,C,28,Jul-00,275,Stanford,19689000
Buy 28 Bili hola,Chris McCullough,Brooklyn Nets,1,PF,21,06. Nov,200,Syracuse,1140240
Buy 28 Bili hola,Willie Reed,Brooklyn Nets,33,PF,26,06. Oct,220,Saint Louis,947276
Buy 28 Bili hola,Thomas Robinson,Brooklyn Nets,41,PF,25,06. Oct,237,Kansas,981348
Buy 28 Bili hola,Henry Sims,Brooklyn Nets,14,C,26,06. Oct,248,Georgetown,947276
Buy 28 Bili hola,Donald Sloan,Brooklyn Nets,15,PG,28,06. Mar,205,Texas A&M,947276
Buy 28 Bili hola,Thaddeus Young,Brooklyn Nets,30,PF,27,06. Aug,221,Georgia Tech,11235955
Buy 28 Bili hola,Arron Afflalo,New York Knicks,4,SG,30,06. May,210,UCLA,8000000
Buy 28 Bili hola,Lou Amundson,New York Knicks,17,PF,33,06. Sep,220,UNLV,1635476
Buy 28 Bili hola,Thanasis Antetokounmpo,New York Knicks,43,SF,23,06. Jul,205,,30888
Buy 28 Bili hola,Carmelo Anthony,New York Knicks,7,SF,32,06. Aug,240,Syracuse,22875000
Buy 28 Bili hola,Jose Calderon,New York Knicks,3,PG,34,06. Mar,200,,7402812
